"Label","Definition Name","ItemCode","Quantity","Notes","A[mm]","A1[mm]","B[mm]","C[mm]","D[mm]","E[mm]","F[mm]","G[mm]","G1[mm]","H[mm]","L[mm]","R[mm]","Angle[°]","Tag","Area[m2]","Air Flow[m3/h]","Air Speed[m/s]","Mounting Height[m]","Pressure Loss[Pa]"
"E_00","-REL Angle_90° R_100 A_940 A1_500 B_940 G_25 G1_25 Area_2.6818","REL","1","_","940","500","940","","","","","25","25","","","100","90","- DuctWork Exhaust","2.6818","8500","5.023641","0","0"
"E_01","-CRD Rectangular Duct","CRD","1","LF","500","","940","","","","","","","","600","","","- DuctWork Exhaust","1.728","8500","5.023641","0","0"
"E_02","-REL Angle_90° R_100 A_500 A1_500 B_940 G_25 G1_25 Area_1.7182","REL","1","_","500","500","940","","","","","25","25","","","100","90","- DuctWork Exhaust","1.7182","8500","5.023641","0","0"
"E_03","-CRD Rectangular Duct","CRD","3","_","500","","940","","","","","","","","1500","","","- DuctWork Exhaust","4.32","8500","5.023641","0","0"
"E_04","-RED A_500 B_940 C_1000 D_400 E_-500 F_540 G_25 G1_25 L_800 Area_2.5041","RED","1","_","500","","940","1000","400","-500","540","25","25","","800","","","- DuctWork Exhaust","2.5041","8500","5.902778","0","0"
"E_05","-RSO Angle_60° R_100 A_400 A1_400 B_1000 F_300 G_25 G1_25 L_533 Area_1.89","RSO","1","_","400","400","1000","","","","300","25","25","","533","100","60","- DuctWork Exhaust","1.89","8500","5.902778","0","0"
"E_06","-REL Angle_90° R_100 A_1000 A1_1000 B_400 G_25 G1_25 Area_2.7553","REL","1","_","1000","1000","400","","","","","25","25","","","100","90","- DuctWork Exhaust","2.7553","8500","5.902778","0","0"
"E_07","-CRD Rectangular Duct","CRD","3","_","1000","","400","","","","","","","","1500","","","- DuctWork Exhaust","4.2","8500","5.902778","0","0"
"E_08_1","-REL Angle_90° R_100 A_200 A1_600 B_400 G_25 G1_25 Area_0.8548","REL","1","REC","200","600","400","","","","","25","25","","","100","90","- DuctWork Exhaust","0.8548","3000","10.416667","0","0"
"E_08_2","-CRD Rectangular Duct","CRD","1","REC","800","","400","","","","","","","","800","","","- DuctWork Exhaust","1.92","8500","7.378472","0","0"
"E_09","-RSO Angle_60° R_50 A_400 A1_200 B_600 F_150 G_25 G1_25 L_406 Area_0.9711","RSO","1","_","400","200","600","","","","150","25","25","","406","50","60","- DuctWork Exhaust","0.9711","3000","6.944444","0","0"
"E_10","-CRD Rectangular Duct","CRD","1","LF","600","","200","","","","","","","","300","","","- DuctWork Exhaust","0.48","3000","6.944444","0","0"
"E_11","-REL Angle_90° R_100 A_800 A1_1000 B_400 G_25 G1_25 Area_2.4389","REL","1","_","800","1000","400","","","","","25","25","","","100","90","- DuctWork Exhaust","2.4389","8500","7.378472","0","0"
"E_12","-RED A_1000 B_400 C_600 D_1200 E_200 F_-800 G_25 G1_100 L_900 Area_3.2217","RED","1","_","1000","","400","600","1200","200","-800","25","100","","900","","","- DuctWork Exhaust","3.2217","8500","5.902778","0","0"
"E_13","-CRD Rectangular Duct","CRD","1","GRILLE","600","","1200","","","","","","","","100","","","- DuctWork Equipment AHU","0.36","8500","3.279321","0","0"
