"Label","Definition Name","ItemCode","Quantity","Notes","A[mm]","A1[mm]","B[mm]","C[mm]","D[mm]","E[mm]","F[mm]","G[mm]","G1[mm]","H[mm]","L[mm]","R[mm]","Angle[°]","Tag","Area[m2]","Air Flow[m3/h]","Air Speed[m/s]","Mounting Height[m]","Pressure Loss[Pa]"
"R_00","-RED A_940 B_940 C_600 D_600 E_170 F_74 G_25 G1_25 L_450 Area_1.5064","RED","1","_","940","","940","600","600","170","74","25","25","","450","","","- DuctWork Return","1.5064","8500","6.558642","0","0"
"R_01","-CRD Rectangular Duct","CRD","2","LF","600","","600","","","","","","","","1250","","","- DuctWork Return","3","8500","6.558642","0","0"
"R_02","-RSO Angle_30° R_100 A_600 A1_600 B_600 F_300 G_25 G1_25 L_762 Area_2.0437","RSO","1","_","600","600","600","","","","300","25","25","","762","100","30","- DuctWork Return","2.0437","8500","6.558642","0","0"
"R_03","-RSO Angle_45° R_100 A_600 A1_600 B_600 F_350 G_25 G1_25 L_711 Area_2.0099","RSO","1","_","600","600","600","","","","350","25","25","","711","100","45","- DuctWork Return","2.0099","8500","6.558642","0","0"
"R_04","-REL Angle_90° R_100 A_600 A1_600 B_600 G_25 G1_25 Area_1.6172","REL","1","_","600","600","600","","","","","25","25","","","100","90","- DuctWork Return","1.6172","8500","6.558642","0","0"
"R_05","-REL Angle_90° R_100 A_600 A1_900 B_600 G_25 G1_25 Area_2.2322","REL","1","_","600","900","600","","","","","25","25","","","100","90","- DuctWork Return","2.2322","8500","6.558642","0","0"
"R_06","-CRD Rectangular Duct","CRD","2","_","600","","900","","","","","","","","1500","","","- DuctWork Return","4.5","8500","4.372428","0","0"
"R_07","-CAP Rectangular End Cap","CAP","1","_","600","","900","","","","","","","","40","","","- DuctWork Return","0.66","8500","4.372428","0","0"
"R_08","-TRE R_100 A_600 B_900 C_600 G_25 G1_25 L_850 Area_2.3159","TRE","1","_","600","","900","600","","","","25","25","","850","100","","- DuctWork Return","2.3159","8500","4.372428","0","0"
"R_09","-SCE A_600 B_900 D_710 G_25 G1_25 L_500 Area_1.3492","SCE","1","_","600","","900","","710","","","25","25","","500","","","- DuctWork Return","1.3492","8500","5.963618","0","0"
